"Silvi",63,12356,0,17,283,"","giveth",0,0,"","[':']","fund:12356 recency:283d grants:17 src:1"
"Esusu",63,13143,0,19,211,"esusuafrica.com","karma-gap",0.8,0.6,"AI-powered oracle and trading agent, decentralized application","['github:emiridbest','twitter:emiridbest']","fund:13143 recency:211d grants:19 src:1"
"3 Wheeler Bike Club",63,13003,0,13,315,"3wb.club","karma-gap",0.8,0.9,"Blockchain protocol for sustainable transportation","['github:3-wheeler-bike-club','twitter:3wbclub']","fund:13003 recency:315d grants:13 src:1"
"GoodDollar",63,14958,0,7,337,"gooddollar.org","karma-gap",0.8,0.6,"Sustainable UBI, but unclear environmental impact","['twitter:gooddollarorg']","fund:14958 recency:337d grants:7 src:1"
"ZeroTx",63,5044,0,98,189,"chesspuzzles.xyz","karma-gap",0.2,0.8,"Limited environmental focus, requires technical expertise, and has some funding","['github:0xedev','twitter:adsbazaar5']","fund:5044 recency:189d grants:98 src:1"
"OpenLitterMap Real-Time In-World Gamification Syst",63,30000,0,7,283,"openlittermap.com","karma-gap",0.8,0.4,"Aligns with environmental goals, requires technical expertise, and has some funding","['twitter:littercoin']","fund:30000 recency:283d grants:7 src:1"
"MotusDAO Dapp",63,3100,0,10,202,"agents.motusdao.org","karma-gap",0.4,0.8,"Blockchain-based UHC system, mental health platform","['github:motus-dao','twitter:motusdao']","fund:3100 recency:202d grants:10 src:1"
"CharmVerse",62,50000,0,4,533,"charmverse.io","karma-gap",0.8,0.9,"Token communities, grant funding, and dev needs","['github:charmverse','twitter:charmverse']","fund:50000 recency:533d grants:4 src:1"
"DefiLlama",62,300000,0,7,682,"","karma-gap",0,0,"","[':']","fund:300000 recency:682d grants:7 src:1"
"Water Sector Governance and Infrastructure Support Project",61,70055520,0,1,20713,"","worldbank",0,0,"","[':']","fund:70055520 recency:20713d grants:1 src:1"
"libp2p",61,3307800,0,1,123,"libp2p.io","karma-gap",0,0,"Funding and existing infrastructure for decentralized applications","['email:security@libp2p.io','email:security@libp2p.io','twitter:libp2p','email:security@libp2p.io']","fund:3307800 recency:123d grants:1 src:1"
"Blockscout Open-Source Block Explorer",60,54465,0,10,517,"","giveth",0,0,"","[':']","fund:54465 recency:517d grants:10 src:1"
"CoindPay",59,153906,0,3,682,"","giveth",0,0,"","[':']","fund:153906 recency:682d grants:3 src:1"
"Velodrome Finance",59,250000,0,2,274,"","karma-gap",0,0,"","[':']","fund:250000 recency:274d grants:2 src:1"
"Curio Storage",59,500000,0,2,204,"","karma-gap",0,0,"","[':']","fund:500000 recency:204d grants:2 src:1"
"Alchemix",59,250000,0,2,118,"","karma-gap",0,0,"","[':']","fund:250000 recency:118d grants:2 src:1"
"CeloSusu",58,0,0,10,272,"","karma-gap",0.8,0.4,"Regenerative focus, but unclear dev needs and limited funds","[':']","fund:0 recency:272d grants:10 src:1"
"ETHealth",58,54,0,10,222,"","karma-gap",0.8,0.6,"ETHealth integrates virtual healthcare with stablecoin payments, FarmBlock promotes sustainable agriculture, Infinite focuses on decentralized foreign exchange","[':']","fund:54 recency:222d grants:10 src:1"
"GreenPill Global",58,3500,0,28,253,"greenpiil.network","karma-gap",0.8,0.4,"Climate-focused public goods program with some environmental alignment","['twitter:greenpillboston']","fund:3500 recency:253d grants:28 src:1"
"Funding the Commons",58,3398,0,14,283,"","giveth",0,0,"","[':']","fund:3398 recency:283d grants:14 src:1"
"GainForest",58,9467,0,31,211,"","giveth",0,0,"","[':']","fund:9467 recency:211d grants:31 src:1"
"BMedia",58,0,0,19,283,"borderless.cryptosmartnow.io","karma-gap",0.8,0.4,"Arbitrum ecosystem, community building, devrel, education","['twitter:_karlagod']","fund:0 recency:283d grants:19 src:1"
"Zingo Labs Hackfest",58,0,0,37,204,"","karma-gap",0.2,0.8,"Limited environmental focus, significant technical needs, some funding available","[':']","fund:0 recency:204d grants:37 src:1"
"Mi Costa de Oro",58,3323,0,18,283,"gap.karmahq.xyz","karma-gap",0.8,0.6,"Regenerative learning model, but unclear environmental impact","['email:info@karmahq.xyz','email:info@karmahq.xyz','github:orgs','twitter:kmllcw3','email:info@karmahq.xyz']","fund:3323 recency:283d grants:18 src:1"
"Chainlink",58,1000000,0,2,659,"chain.link","karma-gap",0.2,0.8,"Limited environmental focus, significant technical needs, moderate funding","['email:press@chain.link','email:press@chain.link','github:phanstudio','twitter:chainlink','email:press@chain.link']","fund:1000000 recency:659d grants:2 src:1"
"Repscan",58,729,0,20,180,"trynoah.ai","karma-gap",0.2,0.8,"Limited environmental focus, requires technical expertise, some funding available","['github:chigozie0706','twitter:chigoziejacob1']","fund:729 recency:180d grants:20 src:1"
"Hairdo",58,696,0,15,275,"famile.xyz","karma-gap",0.5,0.8,"Limited environmental focus, significant technical needs, limited funds","['email:hello@famile.xyz','email:hello@famile.xyz','email:care@famile.xyz','email:partners@famile.xyz','email:care@famile.xyz','email:partners@famile.xyz','email:hello@famile.xyz','email:care@famile.xyz','email:partners@famile.xyz','github:thisyearnofear','twitter:papajimjams']","fund:696 recency:275d grants:15 src:1"
"ContriBoost",58,2450,0,17,299,"faucetdrops.io","karma-gap",0.8,0.6,"Blockchain-based platforms for social impact and community engagement","['email:drops.faucet@gmail.com','email:drops.faucet@gmail.com','github:jerydam','twitter:faucetdrops','email:drops.faucet@gmail.com']","fund:2450 recency:299d grants:17 src:1"
"GreenSofa",58,5938,0,11,202,"","karma-gap",0,0,"","[':']","fund:5938 recency:202d grants:11 src:1"
"Gardens",57.32,10491,0,23,413,"gardens.fund","artizen-s7,curated,giveth,karma-gap",0.8,0.9,"Next-gen governance, community coordination, and funding platform","['github:1hive']","fund:10491 recency:413d grants:23 src:4"
"EcoSynthesisX DAO",57,13417,0,15,534,"","giveth",0,0,"","[':']","fund:13417 recency:534d grants:15 src:1"
"Giveth Matching Pool",57,427878,0,6,475,"","giveth",0,0,"","[':']","fund:427878 recency:475d grants:6 src:1"
"Bankless Academy",57,2864,0,10,517,"","giveth",0,0,"","[':']","fund:2864 recency:517d grants:10 src:1"
"Earth Commons",57,4409,0,6,582,"","giveth",0,0,"","[':']","fund:4409 recency:582d grants:6 src:1"
"TAS",57,0,0,3,28,"techandsun.xyz","karma-gap",0.8,0.4,"Limited tech expertise, but some funding for development","['twitter:techandsun_ng']","fund:0 recency:28d grants:3 src:1"
"Hypercerts Foundation",57,13979,0,14,542,"","giveth",0,0,"","[':']","fund:13979 recency:542d grants:14 src:1"
"Regens Unite",57,24041,0,20,534,"","giveth",0,0,"","[':']","fund:24041 recency:534d grants:20 src:1"
"EthStaker",57,10299,0,15,612,"","giveth",0,0,"","[':']","fund:10299 recency:612d grants:15 src:1"
"Ybirá",57,100,0,39,475,"agroforestdao.web.app","karma-gap",0.8,0.4,"Partially aligned with regenerative principles, requires technical support, and has limited funds for development","['twitter:agroforestdao']","fund:100 recency:475d grants:39 src:1"
"Tally Ho",56,400000,0,1,892,"tallyho.cash","karma-gap",0.5,0.8,"Limited environmental focus, requires technical expertise, some funding available","['email:your@email.com','email:your@email.com','github:tallycash','twitter:tallycash','email:your@email.com']","fund:400000 recency:892d grants:1 src:1"
"Fairmint",56,250000,0,1,892,"","karma-gap",0,0,"","[':']","fund:250000 recency:892d grants:1 src:1"
"Layer2DAO",56,300000,0,1,892,"layer2dao.org","karma-gap",0.6,0.8,"Invests in L2 protocols, expanding Ethereum ecosystem","['github:layer2dao','twitter:thelayer2dao']","fund:300000 recency:892d grants:1 src:1"
"Filecoin Developer Tooling and Success",56,330000,0,1,282,"","karma-gap",0,0,"","[':']","fund:330000 recency:282d grants:1 src:1"
"Mālama Labs Inc.",56,240000,0,0,240,"malamalabs.com","karma-gap",0.8,0.4,"Carbon removal infrastructure development","['email:hello@malamalabs.com','email:tyler@malamalabs.com','email:hello@malamalabs.com','email:tyler@malamalabs.com','twitter:malamalabs','email:hello@malamalabs.com','email:tyler@malamalabs.com']","fund:240000 recency:240d grants:0 src:1"
"Filecoin Retrieval Checkers as FWS Services",56,356000,0,1,282,"","karma-gap",0,0,"","[':']","fund:356000 recency:282d grants:1 src:1"
"Messari",56,365000,0,1,892,"messari.io","karma-gap",0.2,0.8,"Limited environmental focus, significant dev requirements, and moderate funding","['twitter:messaricrypto']","fund:365000 recency:892d grants:1 src:1"
"ETH Pura Vida",55,7000,0,4,280,"","karma-gap",0,0,"","[':']","fund:7000 recency:280d grants:4 src:1"
"Pairwise: Simplifying Choices, Amplifying Voices",55,6429,0,13,542,"pairwise.generalmagic.io","giveth,karma-gap",0.2,0.8,"Not explicitly stated, but may have some environmental focus","['twitter:generalmagicio']","fund:6429 recency:542d grants:13 src:2"
"Week in PGF",55,4197,0,12,517,"paragraph.xyz","giveth,karma-gap",0.2,0.8,"Limited environmental focus, requires technical expertise, has some funds for dev","['twitter:eisodosmedia']","fund:4197 recency:517d grants:12 src:2"
"dm3 protocol",55,50000,0,8,682,"dm3.network","karma-gap",0.8,0.2,"Decentralized, secure, and scalable messaging for environmental impact","['github:corpus-io','twitter:dm3protocol']","fund:50000 recency:682d grants:8 src:1"
"Zazelenimo",55,80000,0,5,527,"muqa.org","karma-gap",0,0,"","['github:muqa-org']","fund:80000 recency:527d grants:5 src:1"
"Regenerative | Insights & Liquidity",55,8226,0,4,337,"regenerative.fi","karma-gap",0.8,0.6,"Grant-funded, onchain primitives, but unclear environmental focus","['twitter:regenerativefi']","fund:8226 recency:337d grants:4 src:1"
"Revoke.cash",55,53697,0,13,517,"","giveth",0,0,"","[':']","fund:53697 recency:517d grants:13 src:1"
"FlowState",55,9697,0,15,384,"flowstate.network","giveth,karma-gap",0.8,0.6,"Funding public goods, but unclear environmental impact","[':']","fund:9697 recency:384d grants:15 src:2"
"ShapeShift DAO",55,203183,0,5,682,"","giveth",0,0,"","[':']","fund:203183 recency:682d grants:5 src:1"
"Dappnode",55,70002,0,9,517,"","giveth",0,0,"","[':']","fund:70002 recency:517d grants:9 src:1"
"Thales",54,1150000,0,2,882,"thalesmarket.io","karma-gap",0.2,0.8,"Not primarily focused on environmental impact, but has potential for adaptation","['twitter:thales_io']","fund:1150000 recency:882d grants:2 src:1"
"IPNI: Interplanetary Network Indexer",54,0,0,2,57,"","karma-gap",0,0,"","[':']","fund:0 recency:57d grants:2 src:1"
"Tarot",54,1140000,0,2,882,"tarotdao.site","karma-gap",0.2,0.8,"Limited environmental focus, but potential for growth","['twitter:tarot_dao']","fund:1140000 recency:882d grants:2 src:1"
"Forest - an efficient and lightweight Filecoin Node",54,0,0,2,57,"","karma-gap",0,0,"","[':']","fund:0 recency:57d grants:2 src:1"
"Compound Community Portfolio",54,25000,0,2,283,"compcomm.club","karma-gap",0.2,0.8,"Limited DeFi focus, needs technical expertise, some funding available","[':']","fund:25000 recency:283d grants:2 src:1"
"Kwenta Protocol",54,1100000,0,2,892,"kwenta.eth.limo","karma-gap",0.5,0.8,"Grant funding and NFT-based referral system, but unclear environmental impact","['github:kwenta','twitter:kwenta_io']","fund:1100000 recency:892d grants:2 src:1"
"GM on Celo",53,0,0,5,279,"","karma-gap",0.2,0.8,"Lack of real-time gas price visibility hinders optimization","[':']","fund:0 recency:279d grants:5 src:1"
"DeCleanup Network",53,10000,0,7,309,"decleanup.net","karma-gap",0.8,0.4,"Multichain infrastructure for environmental cleanup actions","['github:decleanup-network','twitter:decleanupnet']","fund:10000 recency:309d grants:7 src:1"
"Helpio",53,0,0,7,284,"helpio.onrender.com","karma-gap",0.2,0.8,"Lack of technical expertise in blockchain development","['github:deshadev']","fund:0 recency:284d grants:7 src:1"
"HUB Portal Chat",53,0,0,7,308,"","karma-gap",0,1,"Lack of technical expertise and limited funds","[':']","fund:0 recency:308d grants:7 src:1"
"AgroforestDAO",53,0,0,18,196,"","artizen-s7",0,0,"","[':']","fund:0 recency:196d grants:18 src:1"
"StereumLabs",53,25500,0,5,126,"stereum.net","karma-gap",0.5,0.8,"Limited environmental focus, significant tech support required, limited funds","['email:office@stereum.com','email:noffice@stereum.com','email:mathemagician@web3.9dcc.xyz','email:office@stereum.com','email:noffice@stereum.com','twitter:stereumdev','email:office@stereum.com','email:noffice@stereum.com']","fund:25500 recency:126d grants:5 src:1"
"Cosmic",53,0,0,13,281,"","karma-gap",0.2,0.8,"Lack of tech expertise, some funding, and unclear environmental impact","[':']","fund:0 recency:281d grants:13 src:1"
"ReFi Barcelona",53,0,0,5,195,"","karma-gap",0,0,"","[':']","fund:0 recency:195d grants:5 src:1"
"Titanium-Solar Interaction Protocol",53,120000,0,1,413,"","karma-gap",0.3,0.8,"Limited environmental focus, requires technical expertise, some funding available","[':']","fund:120000 recency:413d grants:1 src:1"
"VoiceDeck",53,0,0,6,317,"app.voicedeck.org","karma-gap",0.2,0.8,"Marketplace for impact certificates, but unclear environmental focus","['twitter:voicedeckdao']","fund:0 recency:317d grants:6 src:1"
"IDRA",53,0,0,10,304,"","karma-gap",0.5,0.8,"Limited environmental focus, requires technical expertise, uncertain funding","[':']","fund:0 recency:304d grants:10 src:1"
"Giveth",53,40000,0,18,283,"","karma-gap",0,0,"","[':']","fund:40000 recency:283d grants:18 src:1"
"Irthu",53,0,0,22,283,"atlantisp2p.com","karma-gap",0.5,0.8,"Limited environmental focus, significant coordination needs, limited financial resources","['github:atlantisdao1','twitter:atlantis_p2p']","fund:0 recency:283d grants:22 src:1"
"FREEDAM",53,0,0,22,283,"notion.so","karma-gap",0.2,0.8,"Lack of technical expertise in economics and governance","['twitter:0xurbanika']","fund:0 recency:283d grants:22 src:1"
"Wayst Recycling",53,0,0,5,318,"waystrecycling.com","karma-gap",0.8,0.9,"Decentralized recycling platform with environmental impact","['github:wayst-recycling','twitter:recycleoncarus']","fund:0 recency:318d grants:5 src:1"
"CeloColombia DeFi Bootcamp",53,0,0,7,314,"cold-briu.github.io","karma-gap",0.2,0.8,"Bootcamp for junior devs, Celo ecosystem focus","['github:augustoalegon','twitter:alexiismarz']","fund:0 recency:314d grants:7 src:1"
"Rankify",52,72,0,9,497,"peeramid.network","karma-gap",0.2,0.8,"Lack of technical expertise, potential for environmental impact","['github:peeramid-labs','twitter:peeramid_labs']","fund:72 recency:497d grants:9 src:1"
"Open Source Observer",52,4587,0,14,451,"","giveth",0,0,"","[':']","fund:4587 recency:451d grants:14 src:1"
"Gravity DAO",52,6027,0,7,517,"","giveth",0,0,"","[':']","fund:6027 recency:517d grants:7 src:1"
"ReFi Mexico",52,3612,0,8,510,"refimexico.org","karma-gap",0.8,0.4,"NFT Impact Minter for environmental impact tokenization","['github:refimexico','twitter:refimexico']","fund:3612 recency:510d grants:8 src:1"
"Know Your Human",52,0,0,3,178,"communitysustainability.ca","karma-gap",0.2,0.8,"Limited environmental focus, requires technical expertise","['github:explorience','twitter:heenalr']","fund:0 recency:178d grants:3 src:1"
"DeSci LATAM",52,4990,0,12,533,"descilatam.org","karma-gap",0.8,0.4,"Fostering scientific advancement in Latin America, not explicitly regenerative","['twitter:descilatam']","fund:4990 recency:533d grants:12 src:1"
"Closer - Digital access to co-owned villages",52,179,0,5,483,"closer.earth","karma-gap",0.8,0.6,"Conservation focus, some tech expertise, limited funds","['email:space@traditionaldreamfactory.com','email:space@traditionaldreamfactory.com','email:john@doe.com','email:team@closer.earth','email:john@doe.com','email:team@closer.earth','email:space@traditionaldreamfactory.com','email:john@doe.com','email:team@closer.earth','github:closerdao','twitter:closerearth']","fund:179 recency:483d grants:5 src:1"
"GlidePay",52,57,0,7,381,"glide-pay.onrender.com","karma-gap",0.2,0.8,"Limited environmental focus, requires technical expertise, some funding available","['github:edcode-bot','twitter:rockchain_9']","fund:57 recency:381d grants:7 src:1"
"Have I Been Rekt?",52,0,0,6,533,"beenrekt.com","karma-gap",0.2,0.8,"Limited environmental focus, technical expertise required, no clear funding","['twitter:climaterace']","fund:0 recency:533d grants:6 src:1"
"Afo",52,56,0,6,490,"warpcast.com","karma-gap",0.5,0.8,"Building tools for Greenpill Network, but unclear on environmental impact","['github:sogobanwo','twitter:greenpill']","fund:56 recency:490d grants:6 src:1"
"Kolektivo Network",52,1802,0,8,532,"","giveth",0,0,"","[':']","fund:1802 recency:532d grants:8 src:1"
"Citizen Wallet",52,24,0,8,430,"citizenwallet.xyz","karma-gap",0.5,1,"Not explicitly stated, but may have potential for environmental impact","['twitter:citizenwallet']","fund:24 recency:430d grants:8 src:1"
"South Africa Rail & Ports Sector Governance and Skills Development",51,80000000,0,1,20713,"","worldbank",0,0,"","[':']","fund:80000000 recency:20713d grants:1 src:1"
"Ankr - Filecoin Public Endpoint Infrastructure",51,0,0,1,65,"","karma-gap",0,0,"","[':']","fund:0 recency:65d grants:1 src:1"
"Impact Evaluation Foundation (IEF.wiki)",51,26000,0,3,682,"ief.wiki","karma-gap",0,0,"","['email:hello@ief.wiki','email:hello@ief.wiki','twitter:danielofanu','email:hello@ief.wiki']","fund:26000 recency:682d grants:3 src:1"
"The GARD Protocol",51,1000000,0,1,892,"algogard.com","karma-gap",0.8,0.4,"Grant-funded, environmental focus, some dev expertise, significant funding","['twitter:algogard']","fund:1000000 recency:892d grants:1 src:1"
"Yearn",51,1000000,0,1,892,"yearn.finance","karma-gap",0.2,0.8,"Lack of technical expertise in DeFi development","['twitter:iearnfinance']","fund:1000000 recency:892d grants:1 src:1"
"Celer Network",51,1000000,0,1,892,"celer.network","karma-gap",0.2,0.8,"Blockchain interoperability, DeFi, GameFi, NFTs, governance","['email:info@celer.network','email:info@celer.network','twitter:celernetwork','email:info@celer.network']","fund:1000000 recency:892d grants:1 src:1"
"ReFi DAO | Unlocking a Global Regen CoordiNATION",51,13601,0,2,542,"","giveth,karma-gap",0,0,"","[':']","fund:13601 recency:542d grants:2 src:2"
"Decentralized Cleanup Network",51,12739,0,3,537,"","giveth",0,0,"","[':']","fund:12739 recency:537d grants:3 src:1"
"Synapse Protocol",51,1000000,0,1,892,"synapseprotocol.com","karma-gap",0.2,0.8,"Blockchain infrastructure development","['twitter:synapseprotocol']","fund:1000000 recency:892d grants:1 src:1"
"Focus Pet",51,0,0,1,79,"focus-pet.xyz","karma-gap",0.8,0.4,"Blockchain-based productivity companion with regenerative economy focus","['github:0xolivanode','twitter:focuspet4062']","fund:0 recency:79d grants:1 src:1"
"Stargate Finance",51,1000000,0,1,892,"stargate.finance","karma-gap",0.2,0.8,"Liquidity transport protocol, not explicitly regenerative, but has potential for impact","['twitter:stargatefinance']","fund:1000000 recency:892d grants:1 src:1"
"SEC-TEST EEV005 CPWG ARB 20260806",51,424242,0,1,41,"","karma-gap",0,0,"","[':']","fund:424242 recency:41d grants:1 src:1"
"Perpetual Protocol",51,9000000,0,1,892,"perp.com","karma-gap",0.2,0.8,"Limited environmental focus, significant tech debt","['twitter:perpprotocol']","fund:9000000 recency:892d grants:1 src:1"
"Hop Protocol",51,1000000,0,1,892,"hop.exchange","karma-gap",0.8,0.4,"Grant funding, environmental focus, but unclear dev needs","['twitter:hopprotocol']","fund:1000000 recency:892d grants:1 src:1"
"Inverter Network",51,50000,0,5,734,"inverter.network","karma-gap",0.2,0.8,"Grant funding, but unclear regenerative focus","['twitter:inverternetwork']","fund:50000 recency:734d grants:5 src:1"
"Wildcards Protocol",51,45000,0,3,682,"wildcards.wtf","karma-gap",0,1,"Not explicitly stated, unclear on environmental impact","['twitter:wildcardswtf']","fund:45000 recency:682d grants:3 src:1"
"Vibo",50,0,0,4,285,"nanopay.live","karma-gap",0.2,0.8,"Tokenized communities, gasless transfers, and Aave savings","['github:mbarbosa30','twitter:vibomarket']","fund:0 recency:285d grants:4 src:1"
"Hypercert",50,0,0,5,638,"","hypercerts,karma-gap",0,0,"","[':']","fund:0 recency:638d grants:5 src:2"
".sdvs",50,0,0,4,333,"","karma-gap",0.2,0.8,"Limited environmental focus, but unclear impact; requires technical expertise; has some funding","[':']","fund:0 recency:333d grants:4 src:1"
"Another World",49,50000,0,1,892,"anotherworld.gg","karma-gap",0.8,0.9,"NFTs, open-world game, web3, community","['twitter:anotherworlddao']","fund:50000 recency:892d grants:1 src:1"
"Rubicon",49,1100000,0,2,882,"","karma-gap",0,0,"","[':']","fund:1100000 recency:882d grants:2 src:1"
"Atlantis World",49,50000,0,1,892,"atlantis.world","karma-gap",0,0,"","['twitter:atlantis0x']","fund:50000 recency:892d grants:1 src:1"
"Crypto Commons Association",49,5484,0,2,238,"","giveth",0,0,"","[':']","fund:5484 recency:238d grants:2 src:1"
"Unma",49,112,0,2,354,"","karma-gap",0,0,"","[':']","fund:112 recency:354d grants:2 src:1"
"MUX Protocol",49,500000,0,2,882,"","karma-gap",0,0,"","[':']","fund:500000 recency:882d grants:2 src:1"
"chatWallet",49,500,0,4,537,"chatwallet-x.web.app","karma-gap",0,0,"","['email:emn178@gmail.com','email:emn178@gmail.com','twitter:xunorus','email:emn178@gmail.com']","fund:500 recency:537d grants:4 src:1"
"Diamante Bridge Collective",49,80089,0,1,748,"","giveth",0,0,"","[':']","fund:80089 recency:748d grants:1 src:1"
"Cos72",49,2000,0,4,572,"aastar.io","karma-gap",0,0,"","['twitter:aastarcommunity']","fund:2000 recency:572d grants:4 src:1"
"Extra Finance",49,104000,0,1,892,"app.extrafi.io","karma-gap",0.5,0.8,"LYF Protocol on Optimism Mainnet, leveraged yield farming","['twitter:extrafi_io']","fund:104000 recency:892d grants:1 src:1"
"Fil Note",49,100000,0,1,282,"","karma-gap",0,0,"","[':']","fund:100000 recency:282d grants:1 src:1"
"Angle Protocol",49,250000,0,2,882,"","karma-gap",0,0,"","[':']","fund:250000 recency:882d grants:2 src:1"
"Mozambique Conservation Areas for Biodiversity and Development Project",49,85000000,0,2,20713,"","worldbank",0,0,"","[':']","fund:85000000 recency:20713d grants:2 src:1"
"game_spin",49,100000,0,1,306,"faet.io","karma-gap",0,0,"","['twitter:home']","fund:100000 recency:306d grants:1 src:1"
"Via Protocol",49,250000,0,2,892,"via.exchange","karma-gap",0,0,"","['twitter:via_protocol']","fund:250000 recency:892d grants:2 src:1"
"VUC",48,0,0,0,55,"","karma-gap",0,0,"","[':']","fund:0 recency:55d grants:0 src:1"
"Petition.io",48,0,0,0,64,"petition.io","karma-gap",0,0,"","['twitter:petitionio']","fund:0 recency:64d grants:0 src:1"
"Greenpill Dev Guild",48,13544,0,20,130,"","giveth",0,0,"","[':']","fund:13544 recency:130d grants:20 src:1"
"SubPay",48,1086,0,15,194,"africycle.xyz","karma-gap",0,0,"","['github:kanasjnr','twitter:fxremit']","fund:1086 recency:194d grants:15 src:1"
"GEN Ukraine",48,12800,0,9,226,"genukraine.com.ua","karma-gap",0,0,"","['email:genukraine2018@gmail.com','email:genukraine2018@gmail.com','twitter:gen_ukraine','email:genukraine2018@gmail.com']","fund:12800 recency:226d grants:9 src:1"
"ReFi Nairobi",48,0,0,6,759,"solarpunknomads.xyz","karma-gap",0,0,"","['twitter:refinairobi']","fund:0 recency:759d grants:6 src:1"
"Ecofrontiers",48,16530,0,17,283,"ecofrontiers.app","karma-gap",0,0,"","['twitter:ecofrontiers']","fund:16530 recency:283d grants:17 src:1"
"HealFi",48,25,0,6,317,"","karma-gap",0,0,"","[':']","fund:25 recency:317d grants:6 src:1"
"cPiggy",48,1279,0,23,331,"copwrapper.xyz","karma-gap",0,0,"","['github:tucopfinance']","fund:1279 recency:331d grants:23 src:1"
"cr8or",48,1062,0,15,283,"celorean.school","karma-gap",0,0,"","['github:soomtochukwu']","fund:1062 recency:283d grants:15 src:1"
"Canvassing",48,775,0,12,302,"thecanvassing.framer.website","karma-gap",0,0,"","['github:andrewkimjoseph','twitter:thecanvassing']","fund:775 recency:302d grants:12 src:1"
"Ethereum Attestation Service",48,12537,0,2,517,"","giveth",0,0,"","[':']","fund:12537 recency:517d grants:2 src:1"
"Sentry",48,162,0,13,184,"bountyclaw.up.railway.app","karma-gap",0,0,"","['github:bobeu']","fund:162 recency:184d grants:13 src:1"
"Autoflow",48,68,0,19,306,"","karma-gap",0,0,"","[':']","fund:68 recency:306d grants:19 src:1"
"Dezenmart",48,205,0,6,300,"","karma-gap",0,0,"","[':']","fund:205 recency:300d grants:6 src:1"
"Bitsave Protocol",48,1961,0,10,236,"bitsave.io","karma-gap",0,0,"","['github:cryptosmartnow','twitter:bitsaveprotocol']","fund:1961 recency:236d grants:10 src:1"
"MiloFX",48,412,0,8,214,"agenthaus.space","karma-gap",0,0,"","['github:olisehgenesis']","fund:412 recency:214d grants:8 src:1"
"BuilderPay_MCP",48,0,0,6,357,"","karma-gap",0,0,"","[':']","fund:0 recency:357d grants:6 src:1"
"ReFi Medellin",48,25159,0,2,542,"","giveth",0,0,"","[':']","fund:25159 recency:542d grants:2 src:1"
"Sov Seas",48,3838,0,14,286,"","karma-gap",0,0,"","[':']","fund:3838 recency:286d grants:14 src:1"
"Grassroots Economics",48,21424,0,6,294,"","giveth",0,0,"","[':']","fund:21424 recency:294d grants:6 src:1"
"Blockchain CO2e Emissions Calculator",48,2320,0,5,759,"mentholprotocol.com","karma-gap",0,0,"","[':']","fund:2320 recency:759d grants:5 src:1"
