"Irthu",80,"atlantisp2p.com","karma-gap",22,"2025-12-08","['github:atlantisdao1','twitter:atlantis_p2p']"
"Mi Costa de Oro",80,"gap.karmahq.xyz","karma-gap",16,"2025-12-08","['email:info@karmahq.xyz','github:orgs','twitter:kmllcw3']"
"ZeroTx",80,"chesspuzzles.xyz","karma-gap",98,"2026-03-12","['github:0xedev','twitter:adsbazaar5']"
"Hairdo",80,"famile.xyz","karma-gap",15,"2025-12-16","['email:hello@famile.xyz','email:care@famile.xyz','email:partners@famile.xyz','github:thisyearnofear','twitter:papajimjams']"
"CeloColombia DeFi Bootcamp",80,"cold-briu.github.io","karma-gap",7,"2025-11-07","['github:augustoalegon','twitter:alexiismarz']"
"Ankr - Filecoin Public Endpoint Infrastructure",79,"","karma-gap",1,"2026-07-14","[':']"
"Regenerative | Insights & Liquidity",76,"regenerative.fi","karma-gap",4,"2025-10-15","['twitter:regenerativefi']"
"Vibo",76,"nanopay.live","karma-gap",4,"2025-12-06","['github:mbarbosa30','twitter:vibomarket']"
".sdvs",76,"","karma-gap",4,"2025-10-19","[':']"
"Treetino & Certino Protocol",75,"treetino.com","karma-gap",0,"2026-08-27","['twitter:jakublustyk23']"
"Petition.io",75,"petition.io","karma-gap",0,"2026-07-15","['twitter:petitionio']"
"VUC",75,"","karma-gap",0,"2026-07-24","[':']"
"Know Your Human",72,"communitysustainability.ca","karma-gap",3,"2026-03-23","['github:explorience','twitter:heenalr']"
"BetOracle",72,"","karma-gap",3,"2026-03-21","[':']"
"FilPonto",72,"","karma-gap",3,"2026-07-22","[':']"
"Hypercert",70,"","hypercerts,karma-gap",5,"2024-12-18","[':']"
"DeSci Asia",70,"","artizen-s7",20,"2026-06-22","[':']"
"Helios (HLSP)",70,"helios.eco","karma-gap,user-token-list",8,"2024-05-31","['email:team@helios.eco']"
"Karma",70,"karmahq.xyz","curated,karma-gap",13,"2025-11-03","['email:info@karmahq.xyz']"
"FlowState",70,"flowstate.network","giveth,karma-gap",14,"2025-08-29","[':']"
"Week in PGF",70,"paragraph.xyz","giveth,karma-gap",11,"2025-04-18","['twitter:eisodosmedia']"
"Pairwise: Simplifying Choices, Amplifying Voices",70,"pairwise.generalmagic.io","giveth,karma-gap",12,"2025-03-24","['twitter:generalmagicio']"
"Suno",69,"suno.finance","karma-gap,user-token-list",1,"2025-11-03","['email:info@suno.finance','twitter:suno_finance']"
"ABSystem",68,"","karma-gap",2,"2025-10-20","[':']"
"Bureau",68,"playversecryptogames.onrender.com","karma-gap",2,"2026-08-16","['github:spagero763','twitter:spagero71']"
"OpenModel",68,"","karma-gap",2,"2026-08-13","[':']"
"Loyalty Rewards",68,"","karma-gap",2,"2026-02-18","[':']"
"Nauti AI",68,"","karma-gap",2,"2025-10-31","[':']"
"ETH Pura Vida",68,"","karma-gap",2,"2025-12-11","[':']"
"Ajo 🌍",68,"","karma-gap",2,"2025-11-06","[':']"
"ImpactMarketMaker",68,"a7zmd-bqaaa-aaaag-auhca-cai.icp0.io","karma-gap",2,"2025-10-31","['github:gerryalvrz']"
"Filecoin Infrastructure Services",68,"infra.chainsafe.io","karma-gap",2,"2026-07-28","[':']"
"Secured Finance",68,"","karma-gap",2,"2026-07-22","[':']"
"CHOICE iD",68,"choice.lgbt","karma-gap",2,"2026-01-21","['twitter:choicelgbt']"
"Green Goods",67.95,"","artizen-s7",0,"2025-10-15","[':']"
"Unwrap",65,"africycle.xyz","karma-gap",15,"2026-03-07","['github:kanasjnr','twitter:fxremit']"
"Ybirá",65,"agroforestdao.web.app","karma-gap",39,"2025-05-30","['twitter:agroforestdao']"
"Kokonut Onchain Network",65,"kokonut.network","karma-gap",12,"2025-06-04","['github:wasalo']"
"Meg Rivers Regen Citizen",65,"bloomnetwork.earth","karma-gap",5,"2024-11-04","['email:community@bloomnetwork.earth','twitter:ourbloomnetwork']"
"Wasset",65,"wasset.io","karma-gap",7,"2024-09-13","['twitter:wassetltd']"
"Learna",65,"bountyclaw.up.railway.app","karma-gap",13,"2026-03-17","['github:bobeu']"
"cPiggy",65,"copwrapper.xyz","karma-gap",23,"2025-10-21","['github:tucopfinance']"
"cr8or",65,"celorean.school","karma-gap",13,"2025-12-08","['github:soomtochukwu']"
"AsteriskDAO",65,"asteriskdao.xyz","karma-gap",6,"2025-04-02","['twitter:asteriskdao']"
"EcoSynthesisX DAO",65,"","giveth",14,"2025-04-01","[':']"
"Kernel",65,"kernel.community","karma-gap",6,"2025-01-27","['twitter:body_by_onio']"
"Earthist Seeds for Regeneration",65,"earthist.network","karma-gap",15,"2025-04-18","['email:regen@earthist.network','github:orgs','twitter:earthistdao']"
"FORK FOREST",65,"forkdaogov.xyz","karma-gap",7,"2025-04-11","['twitter:forkdaoes']"
"Ama Earth Group",65,"","karma-gap",7,"2024-11-04","[':']"
"LunCo: complex systems design",65,"lunco.space","karma-gap",12,"2025-04-01","['email:contacts@lunco.space','github:luncosim','twitter:luncosim']"
"Beyond Fossil Fuels - Supporting Indigenous legal efforts to STOP fossil fuel infrastructure",65,"","karma-gap",5,"2024-04-30","[':']"
"Bankless Academy",65,"","giveth",9,"2025-04-18","[':']"
"Autoflow",65,"","karma-gap",19,"2025-11-15","[':']"
"Rankify",65,"peeramid.network","karma-gap",9,"2025-05-08","['github:peeramid-labs','twitter:peeramid_labs']"
"Realize It",65,"badges.zenbit.mx","karma-gap",8,"2024-11-04","['twitter:kolektivolabs']"
"ReFi Phangan - Land, Community & Web3 Impact",65,"","karma-gap",10,"2025-05-11","[':']"
"EthStaker",65,"","giveth",14,"2025-01-13","[':']"
"Trusted Seed Mentorship Program",65,"trustedseed.org","karma-gap",6,"2024-09-12","['twitter:trustedseed']"
"MesoReefDAO ~ Regenerating Reef Conservation with DeSci Web3 tools",65,"","karma-gap",20,"2025-04-01","[':']"
"Hypercerts Foundation",65,"","giveth",13,"2025-03-24","[':']"
"Chatafisha",65,"chatafisha.com","karma-gap",11,"2025-04-02","['twitter:chatafisha']"
"Kolektivo Network",65,"","giveth",7,"2025-04-03","[':']"
"CeloNFT",65,"","karma-gap",9,"2026-04-22","[':']"
"Citizen Wallet",65,"citizenwallet.xyz","karma-gap",8,"2025-07-14","['twitter:citizenwallet']"
"Closer - Digital access to co-owned villages",65,"closer.earth","karma-gap",5,"2025-05-22","['email:space@traditionaldreamfactory.com','email:john@doe.com','email:team@closer.earth','github:closerdao','twitter:closerearth']"
"StereumLabs",65,"stereum.net","karma-gap",5,"2026-05-14","['email:mathemagician@web3.9dcc.xyz','email:office@stereum.com','email:noffice@stereum.com','twitter:stereumdev']"
"Litter Token",65,"littertoken.xyz","karma-gap",5,"2024-08-19","[':']"
"RegenBuild",65,"regenbuild.earth","karma-gap",7,"2024-11-04","['twitter:regen_earthsoul']"
"EAS Dev Tools",65,"attest.org","karma-gap",17,"2025-03-24","['twitter:eas_eth']"
"UPstore",65,"luckybet.pink","karma-gap",11,"2025-04-18","['twitter:arattalabs']"
"Afo",65,"warpcast.com","karma-gap",6,"2025-05-15","['github:sogobanwo','twitter:greenpill']"
"2lambro",65,"desci.world","karma-gap",6,"2025-04-02","['email:admin@desci.world','email:your@email.com','email:josh-stage@1.5x.jpeg','github:desciworlddao','twitter:2lambro']"
"Project OSISI",65,"osisi.earth","karma-gap",11,"2025-04-11","['twitter:refilagos01']"
"Abundance Protocol",65,"","karma-gap",10,"2025-12-08","[':']"
"Canvassing",65,"thecanvassing.framer.website","karma-gap",12,"2025-11-19","['github:andrewkimjoseph','twitter:thecanvassing']"
"PizzaDAO",65,"","karma-gap",5,"2025-01-13","[':']"
"Sov Seas",65,"","karma-gap",14,"2025-12-05","[':']"
"Have I Been Rekt?",65,"beenrekt.com","karma-gap",6,"2025-04-02","['twitter:climaterace']"
"Landia",65,"landia.world","karma-gap",6,"2024-11-04","['twitter:landiaregen']"
"DeCleanup Network",65,"decleanup.net","karma-gap",7,"2025-11-12","['github:decleanup-network','twitter:decleanupnet']"
"ApeWorX",65,"apeworx.io","karma-gap",5,"2025-03-29","['twitter:apeframework']"
"Open Source Observer",65,"","giveth",13,"2025-06-23","[':']"
"ReFi Prague",65,"refidao.com","karma-gap",23,"2025-06-04","['twitter:daliborcerny']"
"Gravity DAO",65,"","giveth",6,"2025-04-18","[':']"
"Praise",65,"givepraise.xyz","karma-gap",18,"2024-12-18","[':']"
"Jolly-Roger",65,"conquest.game","karma-gap",6,"2026-02-09","['github:wighawag','twitter:wighawag']"
"Pairwise",65,"pairwise.vote","karma-gap",14,"2025-04-02","['twitter:pairwisevote']"
"Zyn",65,"","karma-gap",5,"2026-02-03","[':']"
"MiloFX",65,"agenthaus.space","karma-gap",8,"2026-02-15","['github:olisehgenesis']"
"Mirror",65,"","karma-gap",5,"2024-09-13","[':']"
"MetaGov",65,"metagov.org","karma-gap",12,"2025-03-24","[':']"
"KOKO DAO saving forests in Colombia",65,"kokodao.xyz","karma-gap",6,"2024-05-31","[':']"
"Bitsave Protocol",65,"bitsave.io","karma-gap",10,"2026-01-24","['github:cryptosmartnow','twitter:bitsaveprotocol']"
"Web3beach",65,"web3beach.io","karma-gap",6,"2024-10-04","['twitter:carlosjmelgar']"
"Giveth",65,"","karma-gap",18,"2025-12-08","[':']"
"POOP",65,"app.voulti.com","karma-gap",6,"2026-03-16","['github:csacanam']"
"Towards Symbiocracy",65,"kumu.io","karma-gap",5,"2025-04-11","['email:name@company.com','email:support@kumu.io','twitter:symbioorg']"
"Dezenmart",65,"","karma-gap",6,"2025-11-21","[':']"
"ReFi Nairobi",65,"solarpunknomads.xyz","karma-gap",6,"2024-08-19","['twitter:refinairobi']"
"DeepVenture.io",65,"deepventure.io","karma-gap",7,"2024-09-13","['twitter:deepventureio']"
"April",65,"apriloracle.com","karma-gap",5,"2025-11-06","['github:apriloracle','twitter:apriltoken']"
"Onchain data for Sei Games",65,"dune.com","karma-gap",6,"2025-08-06","['github:duneanalytics','twitter:p_petertherock).']"
"Drivyx ESG",65,"","karma-gap",9,"2024-09-13","[':']"
"GreenpillKenya",65,"","artizen-s7,karma-gap",0,"2026-03-11","[':']"
"rotki",65,"","giveth",17,"2025-04-18","[':']"
"BuilderPay_MCP",65,"","karma-gap",6,"2025-09-25","[':']"
"Astro DAO",65,"hub.xyz","karma-gap",6,"2025-04-30","['email:hello@hub.xyz','twitter:astroguysdao']"
"BrightID",65,"brightid.org","karma-gap",8,"2025-03-31","[':']"
"ThesisAI",65,"fairlyoddfellas.blogspot.com","karma-gap",14,"2026-05-05","['github:arawrdn','twitter:aradeawardana97']"
"BÚAN_fund",65,"ethereumlocalism.xyz","karma-gap",5,"2025-04-03","['email:etherealforest.eth@protonmail.com','twitter:desciresearch']"
"Trustful",65,"blockful.io","karma-gap",6,"2024-11-04","['twitter:blockful_io']"
"ReFi Mexico",65,"refimexico.org","karma-gap",8,"2025-04-25","['github:refimexico','twitter:refimexico']"
"Carmine Finance",65,"carmine.finance","karma-gap",5,"2024-11-04","['twitter:carmineoptions']"
"$EARTH - Oss",65,"solarpunkdao.earth","karma-gap",19,"2025-03-29","['twitter:so']"
"GlidePay",65,"glide-pay.onrender.com","karma-gap",7,"2025-09-01","['github:edcode-bot','twitter:rockchain_9']"
"🌿 Regen Atlas Actions View: Mapping Verified Regenerative Work",64,"","karma-gap",1,"2025-11-03","[':']"
"Pollverse",64,"","karma-gap",1,"2025-11-16","[':']"
"decentralized-builders-academy",64,"","karma-gap",1,"2025-11-01","[':']"
"LiskSwap",64,"","karma-gap",1,"2025-12-16","[':']"
"Filecoin Data Portal",64,"","karma-gap",1,"2026-07-28","[':']"
"Balaio",64,"usebalaio.com","karma-gap",1,"2026-06-23","[':']"
"Unma",64,"","karma-gap",1,"2025-09-28","[':']"
"Flow",64,"trenchverse.com","karma-gap",1,"2026-06-19","['twitter:trench_verse']"
"Celo Nouns Club",64,"","karma-gap",1,"2025-09-23","[':']"
"VEG21 Vegan Challenges and Tokenized Recipes",64,"","karma-gap",1,"2025-10-21","[':']"
"EcoQuant – CELO Based Carbon Finance Ecosystem",64,"","karma-gap",1,"2025-11-28","[':']"
"Celo Colombia Faucet",64,"faucet.celocolombia.org","karma-gap",1,"2025-12-04","['twitter:celo_col']"
"SynapS3",64,"","karma-gap",1,"2026-07-24","[':']"
"DeCleanup Network - tokenizing environmental cleanup action (dApp V2.1)",64,"","karma-gap",1,"2025-11-03","[':']"
"ImpactPay",64,"","karma-gap",1,"2026-04-30","[':']"
"WFF: Verifiable Governance Engine",64,"","karma-gap",1,"2025-12-01","[':']"
"Curio",64,"","karma-gap",1,"2026-08-13","[':']"
"Relay Funder",64,"relayfunder.com","karma-gap",1,"2026-01-27","['github:relay-funder','twitter:relayfunder']"
"Test Three",64,"","karma-gap",1,"2026-07-29","[':']"
"DAO.Archi",64,"dao.archi","karma-gap",1,"2025-12-08","[':']"
"Compound Community Portfolio",64,"compcomm.club","karma-gap",1,"2025-12-08","[':']"
"GoodGov",64,"","karma-gap",1,"2026-06-20","[':']"
"ReFi yield powered Yield-Bearing Stablecoin",64,"","karma-gap",1,"2025-11-03","[':']"
"Filecoin Core Infrastructure & Integration Support",64,"","karma-gap",1,"2026-07-28","[':']"
"SandBlock",64,"","karma-gap",1,"2026-01-27","[':']"
"Cartagena Onchain",64,"","karma-gap",1,"2026-01-07","[':']"
"W3I Network Graph",64,"w3i.network","karma-gap",1,"2025-12-08","['email:support@w3i.network']"
"Goldsky",64,"","karma-gap",1,"2026-08-13","[':']"
"OnChain Connect",64,"","karma-gap",1,"2025-10-30","[':']"
"Kolektivo Curaçao - Onchain Island Program",64,"","karma-gap",1,"2025-12-01","[':']"
"ReFi Tanzania: Solar Saving Circles for Sustainable Energy Independence, Financial Sovereignty & Community Resilience",64,"","karma-gap",1,"2025-11-27","[':']"
"Farcanoid",64,"","karma-gap",1,"2026-06-29","[':']"
"Cairn",64,"","karma-gap",1,"2025-12-08","[':']"
"Chain.Love",64,"filecoin.chain.love","karma-gap",1,"2026-07-23","['email:support@chain.love']"
"Lantern - the pure-Go PDP light node for Filecoin Onchain Cloud (FoC)",64,"","karma-gap",1,"2026-09-16","[':']"
"ZecHub",64,"","karma-gap",1,"2026-02-25","[':']"
"Celo DAO Voting Platform Arabia",64,"ibrahimnazzier.github.io","karma-gap",1,"2025-12-03","['github:ibrahimnazzier']"
"Echo-DAO",64,"saptarshimondal-portfolio.app","karma-gap",1,"2025-11-26","[':']"
"Comunifi - Community Creation",64,"","karma-gap",1,"2025-11-03","[':']"
"CCOP Multi-Sig - Bootcamp Celo",64,"","karma-gap",1,"2025-09-25","[':']"
"Impact Certificate Minter (ICM)",64,"","karma-gap",1,"2025-11-03","[':']"
"Extrafi",64,"","karma-gap",1,"2025-10-16","[':']"
"Frutero Club",64,"frutero.club","karma-gap",1,"2026-01-07","['twitter:fruteroclub']"
"Aura.Farm",64,"","karma-gap",1,"2025-11-25","[':']"
"Crypto Commons Association",64,"","giveth",1,"2026-01-22","[':']"
"Arx Protocol",64,"","karma-gap",1,"2025-11-25","[':']"
"APP-NM8IDF4P-UFWGTY",64,"","karma-gap",1,"2026-09-02","[':']"
"Beryx: Filecoin Explorer, Public API and Traces",64,"","karma-gap",1,"2026-07-28","[':']"
"Test One",64,"","karma-gap",1,"2026-07-29","[':']"
"ETHFloripa",64,"ethfloripa.com","karma-gap",1,"2026-01-07","['twitter:eth_floripa']"
"OSkey",64,"","karma-gap",1,"2025-12-08","[':']"
"Plumbline : CalibrationNet Stability Project",64,"","karma-gap",1,"2026-07-23","[':']"
